,seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom,dataset
0,OWNER,3.0,BHK,Apartment,Ambattur,17000.0,1570.0,Semi-Furnished,2 ,Chennai
1,OWNER,2.0,BHK,Apartment,Kelambakkam,16000.0,1402.0,Semi-Furnished,2 ,Chennai
2,OWNER,2.0,BHK,Apartment,Adyar,20000.0,800.0,Semi-Furnished,2 ,Chennai
3,OWNER,2.0,BHK,Apartment,Sembakkam,14000.0,1180.0,Unfurnished,2 ,Chennai
4,OWNER,1.0,BHK,Independent House,Mogappair,7000.0,400.0,Unfurnished,1 ,Chennai
5,OWNER,1.0,BHK,Independent House,Choolaimedu,8500.0,500.0,Semi-Furnished,2 ,Chennai
6,OWNER,2.0,BHK,Apartment,Medavakkam,10000.0,800.0,Semi-Furnished,2 ,Chennai
7,OWNER,2.0,BHK,Apartment,Vadapalani,15000.0,615.0,Unfurnished,2 ,Chennai
8,OWNER,2.0,BHK,Apartment,Perumbakkam,25000.0,1000.0,Furnished,2 ,Chennai
9,OWNER,2.0,BHK,Apartment,Thirumullaivoyal,11000.0,905.0,Unfurnished,2 ,Chennai
10,OWNER,2.0,BHK,Apartment,Ambattur INDUSTRIAL ESTATE,13000.0,1200.0,Semi-Furnished,2 ,Chennai
11,OWNER,3.0,BHK,Independent House,Urapakkam,12500.0,1500.0,Semi-Furnished,3 ,Chennai
12,OWNER,3.0,BHK,Independent Floor,Palavakam,32000.0,2100.0,Semi-Furnished,3 ,Chennai
13,OWNER,1.0,BHK,Independent Floor,Kolathur,5500.0,250.0,Unfurnished,1 ,Chennai
14,OWNER,2.0,BHK,Independent House,Madhanandapuram,8500.0,720.0,Unfurnished,2 ,Chennai
15,OWNER,3.0,BHK,Apartment,Perungudi,18000.0,1765.0,Unfurnished,3 ,Chennai
16,OWNER,1.0,BHK,Independent Floor,Medavakkam,7500.0,550.0,Semi-Furnished,1 ,Chennai
17,OWNER,3.0,BHK,Independent House,Kilpauk,30000.0,1000.0,Semi-Furnished,2 ,Chennai
18,OWNER,2.0,BHK,Apartment,Sholinganallur,12000.0,750.0,Unfurnished,2 ,Chennai
19,OWNER,3.0,BHK,Independent House,Valasaravakkam,25000.0,1750.0,Furnished,3 ,Chennai
20,OWNER,2.0,BHK,Independent Floor,Mylapore Devandavakkam,15000.0,650.0,Unfurnished,1 ,Chennai
21,OWNER,4.0,BHK,Apartment,Adyar,70000.0,2350.0,Semi-Furnished,3 ,Chennai
22,OWNER,1.0,BHK,Independent Floor,Ramavaram,7000.0,600.0,Unfurnished,1 ,Chennai
23,OWNER,1.0,BHK,Apartment,Ayanavaram,10000.0,650.0,Semi-Furnished,1 ,Chennai
24,OWNER,2.0,BHK,Apartment,Guduvancheri,7500.0,752.0,Semi-Furnished,2 ,Chennai
25,OWNER,3.0,BHK,Apartment,Kattupakkam,14000.0,1100.0,Semi-Furnished,3 ,Chennai
26,OWNER,2.0,BHK,Apartment,Chromepet,9500.0,850.0,Semi-Furnished,2 ,Chennai
27,OWNER,2.0,BHK,Independent Floor,Vinayagapuram,8500.0,800.0,Unfurnished,1 ,Chennai
28,AGENT,3.0,BHK,Apartment,Besant Nagar,80000.0,2001.0,Semi-Furnished,3 ,Chennai
29,OWNER,2.0,BHK,Independent House,Kattupakkam,10000.0,1223.0,Semi-Furnished,1 ,Chennai
30,OWNER,2.0,BHK,Apartment,T Nagar,22000.0,900.0,Semi-Furnished,2 ,Chennai
31,OWNER,1.0,BHK,Independent Floor,West Mambalam,11500.0,600.0,Unfurnished,1 ,Chennai
32,OWNER,2.0,BHK,Apartment,Pallikaranai,14000.0,1250.0,Semi-Furnished,2 ,Chennai
33,OWNER,1.0,BHK,Independent House,Nanganallur,8000.0,500.0,Semi-Furnished,1 ,Chennai
34,OWNER,1.0,BHK,Independent Floor,Thiruvanmiyur,14000.0,660.0,Semi-Furnished,1 ,Chennai
35,OWNER,1.0,BHK,Independent House,Thiruvanmiyur,17000.0,1400.0,Furnished,1 ,Chennai
36,OWNER,1.0,BHK,Independent Floor,Perungudi,13000.0,1000.0,Semi-Furnished,1 ,Chennai
37,OWNER,2.0,BHK,Independent Floor,Royapettah,13000.0,700.0,Unfurnished,1 ,Chennai
38,OWNER,1.0,RK,Studio Apartment,Mogappair,4500.0,300.0,Unfurnished,1 ,Chennai
39,OWNER,2.0,BHK,Apartment,Periyamet,20000.0,1150.0,Semi-Furnished,2 ,Chennai
40,OWNER,3.0,BHK,Independent House,Potheri,14000.0,1280.0,Unfurnished,3 ,Chennai
41,OWNER,2.0,BHK,Independent House,Virugambakkam,13500.0,1000.0,Semi-Furnished,2 ,Chennai
42,OWNER,3.0,BHK,Apartment,Poonamallee,30000.0,1620.0,Semi-Furnished,3 ,Chennai
43,OWNER,1.0,BHK,Independent Floor,Maduravoyal,5200.0,400.0,Unfurnished,1 ,Chennai
44,OWNER,1.0,RK,Studio Apartment,Perungudi,10000.0,300.0,Furnished,1 ,Chennai
45,OWNER,3.0,BHK,Independent House,Perambur,18500.0,1385.0,Unfurnished,2 ,Chennai
46,OWNER,4.0,BHK,Villa,Velachery,30000.0,1700.0,Semi-Furnished,4 ,Chennai
47,OWNER,3.0,BHK,Apartment,Iyappanthangal,40000.0,1938.0,Semi-Furnished,3 ,Chennai
48,OWNER,1.0,BHK,Independent House,Mugalivakkam,10500.0,1000.0,Semi-Furnished,1 ,Chennai
49,OWNER,2.0,BHK,Apartment,Sholinganallur,13000.0,1010.0,Unfurnished,2 ,Chennai
50,OWNER,2.0,BHK,Independent Floor,Madipakkam,12500.0,1250.0,Unfurnished,2 ,Chennai
51,OWNER,2.0,BHK,Apartment,Aminjikarai,18000.0,1100.0,Semi-Furnished,2 ,Chennai
52,OWNER,3.0,BHK,Independent Floor,Chetpet,38000.0,1800.0,Unfurnished,2 ,Chennai
53,OWNER,3.0,BHK,Independent Floor,Mogappair East,33000.0,1600.0,Unfurnished,3 ,Chennai
54,OWNER,3.0,BHK,Apartment,Chromepet,15000.0,1100.0,Unfurnished,2 ,Chennai
55,OWNER,2.0,BHK,Apartment,Poonamallee,14000.0,1100.0,Semi-Furnished,2 ,Chennai
56,OWNER,1.0,BHK,Independent House,Avadi,4000.0,350.0,Unfurnished,1 ,Chennai
57,OWNER,2.0,BHK,Independent Floor,George Town,20000.0,400.0,Semi-Furnished,2 ,Chennai
58,OWNER,3.0,BHK,Independent House,Purasawalkam,16000.0,850.0,Unfurnished,2 ,Chennai
59,OWNER,3.0,BHK,Independent House,Alwarpet,40000.0,1500.0,Semi-Furnished,3 ,Chennai
60,OWNER,3.0,BHK,Apartment,Alandur,36000.0,1418.0,Semi-Furnished,3 ,Chennai
61,OWNER,1.0,BHK,Independent Floor,Chromepet,6500.0,400.0,Unfurnished,1 ,Chennai
62,OWNER,2.0,BHK,Independent Floor,Medavakkam,9500.0,770.0,Semi-Furnished,2 ,Chennai
63,OWNER,2.0,BHK,Independent House,Virugambakkam,16000.0,1000.0,Unfurnished,2 ,Chennai
64,OWNER,2.0,BHK,Apartment,Saidapet,24000.0,1024.0,Semi-Furnished,2 ,Chennai
65,OWNER,2.0,BHK,Apartment,Kovilambakkam,15000.0,1017.0,Semi-Furnished,2 ,Chennai
66,AGENT,4.0,BHK,Apartment,Teynampet,1.1,3000.0,Semi-Furnished,4 ,Chennai
68,OWNER,1.0,BHK,Independent Floor,Ambattur,6500.0,450.0,Unfurnished,1 ,Chennai
69,OWNER,2.0,BHK,Apartment,Ambattur,8700.0,600.0,Semi-Furnished,2 ,Chennai
71,AGENT,3.0,BHK,Apartment,Pallavan Nagar,1.1,3300.0,Furnished,3 ,Chennai
72,OWNER,1.0,BHK,Apartment,Kilpauk,25000.0,653.0,Semi-Furnished,2 ,Chennai
73,OWNER,1.0,BHK,Independent Floor,Madambakkam,10000.0,750.0,Semi-Furnished,2 ,Chennai
74,OWNER,2.0,BHK,Apartment,Valasaravakkam,12500.0,700.0,Semi-Furnished,2 ,Chennai
75,OWNER,2.0,BHK,Apartment,Ekkatuthangal,12000.0,600.0,Semi-Furnished,2 ,Chennai
76,OWNER,3.0,BHK,Apartment,Padur,18000.0,1250.0,Semi-Furnished,3 ,Chennai
77,OWNER,3.0,BHK,Independent House,Kilpauk,42000.0,1900.0,Semi-Furnished,4 ,Chennai
78,OWNER,2.0,BHK,Apartment,Perungudi,23000.0,1125.0,Semi-Furnished,2 ,Chennai
79,OWNER,2.0,BHK,Independent Floor,Kodambakkam,20000.0,900.0,Unfurnished,3 ,Chennai
80,OWNER,2.0,BHK,Apartment,Padi,15000.0,1300.0,Semi-Furnished,2 ,Chennai
81,OWNER,1.0,BHK,Independent House,Jamalia,10000.0,600.0,Unfurnished,1 ,Chennai
82,OWNER,3.0,BHK,Apartment,Pallikaranai,15000.0,1300.0,Unfurnished,2 ,Chennai
83,OWNER,2.0,BHK,Apartment,Anna Nagar East,16000.0,720.0,Semi-Furnished,2 ,Chennai
84,OWNER,2.0,BHK,Independent Floor,Kolathur,15000.0,900.0,Semi-Furnished,2 ,Chennai
85,OWNER,4.0,BHK,Villa,Rajakilpakkam,20000.0,2450.0,Semi-Furnished,3 ,Chennai
86,OWNER,2.0,BHK,Apartment,Ambattur,10500.0,1000.0,Unfurnished,3 ,Chennai
87,OWNER,2.0,BHK,Apartment,Valasaravakkam,15000.0,935.0,Semi-Furnished,2 ,Chennai
88,OWNER,2.0,BHK,Independent House,Pallikaranai,10500.0,1200.0,Semi-Furnished,2 ,Chennai
89,OWNER,2.0,BHK,Apartment,Nungambakkam,50000.0,1300.0,Furnished,2 ,Chennai
90,OWNER,4.0,BHK,Apartment,Gopalapuram,70000.0,2300.0,Furnished,3 ,Chennai
91,OWNER,1.0,BHK,Apartment,Chetpet,23000.0,580.0,Semi-Furnished,2 ,Chennai
92,OWNER,2.0,BHK,Apartment,Velachery,15000.0,800.0,Unfurnished,1 ,Chennai
93,OWNER,2.0,BHK,Apartment,Korattur,9500.0,650.0,Semi-Furnished,2 ,Chennai
94,OWNER,1.0,BHK,Independent House,Mogappair,13000.0,800.0,Semi-Furnished,1 ,Chennai
95,OWNER,3.0,BHK,Independent House,Pallikaranai,13000.0,1350.0,Unfurnished,2 ,Chennai
96,OWNER,3.0,BHK,Independent Floor,Egmore,50000.0,2400.0,Semi-Furnished,3 ,Chennai
97,OWNER,1.0,BHK,Apartment,Pammal,9000.0,465.0,Semi-Furnished,1 ,Chennai
